call_number,latency_seconds
1,0.056568145751953125
2,0.07338380813598633
3,0.06258201599121094
4,0.1490321159362793
5,0.1334247589111328
6,0.055924177169799805
7,0.06608414649963379
8,0.056365013122558594
9,0.058125972747802734
10,0.05781722068786621
11,0.054612159729003906
12,0.05547523498535156
13,0.12107586860656738
14,0.05760502815246582
15,0.05695629119873047
16,0.056838035583496094
17,0.05517387390136719
18,0.05700993537902832
19,0.13099384307861328
20,0.1452949047088623
21,0.058396100997924805
22,0.05743408203125
23,0.055954933166503906
24,0.05629301071166992
25,0.05471205711364746
26,0.05823802947998047
27,0.055711984634399414
28,0.14194893836975098
29,0.06341671943664551
30,0.05530881881713867
31,0.0555880069732666
32,0.05728507041931152
33,0.13967323303222656
34,0.1434171199798584
35,0.05459189414978027
36,0.05568122863769531
37,0.05582594871520996
38,0.05619692802429199
39,0.05859971046447754
40,0.056359052658081055
41,0.14711976051330566
42,0.056809186935424805
43,0.05590987205505371
44,0.05529212951660156
45,0.05603504180908203
46,0.05583906173706055
47,0.13761615753173828
48,0.13523411750793457
49,0.05684304237365723
50,0.05564999580383301
51,0.054975032806396484
52,0.055612802505493164
53,0.060391902923583984
54,0.05702805519104004
55,0.061727046966552734
56,0.1419219970703125
57,0.05878400802612305
58,0.05681014060974121
59,0.07905292510986328
60,0.05931806564331055
61,0.21940112113952637
62,0.05637502670288086
63,0.05498909950256348
64,0.0807650089263916
65,0.057843923568725586
66,0.05611014366149902
67,0.05483102798461914
68,0.054229021072387695
69,0.13825106620788574
70,0.05648326873779297
71,0.05544090270996094
72,0.056655168533325195
73,0.05591607093811035
74,0.138289213180542
75,0.15088510513305664
76,0.055628061294555664
77,0.05706429481506348
78,0.0587310791015625
79,0.05726504325866699
80,0.061672210693359375
81,0.06666994094848633
82,0.05736589431762695
83,0.14165210723876953
84,0.05760502815246582
85,0.05440473556518555
86,0.05511617660522461
87,0.05543112754821777
88,0.11860823631286621
89,0.13439106941223145
90,0.05783486366271973
91,0.0557858943939209
92,0.05773186683654785
93,0.05780792236328125
94,0.058386802673339844
95,0.058281898498535156
96,0.05749106407165527
97,0.14725232124328613
98,0.057127952575683594
99,0.05631899833679199
100,0.05875587463378906
